Freq,GD,IL/Gain,Phase,PDL,PMD,Freq,CD
196156.88919147,-1.35905132014295,-1.02445867987968,1305182.47066566,0,0,196156.568323974,13.3054285377227
196156.247457527,-1.29252417745434,-1.02488899999785,1324953.59615164,0,0,196155.92659213,8.78914542299185
196155.605727783,-1.24857845033938,-1.02526282134109,1344724.59249694,0,0,196155.284864486,4.0073034145621
196154.964002238,-1.22854193326657,-1.02561128429173,1364495.4596091,0,0,196154.64314104,-0.829971912116889
196154.322280891,-1.23269179282715,-1.02599452168132,1384266.19739244,0,0,196154.001421792,-5.43781727054125
196153.680563743,-1.25988087917986,-1.02648803249594,1404036.805753,0,0,196153.359706744,-9.47709328030442
196153.038850794,-1.30726634558138,-1.02716928164526,1423807.28460489,0,0,196152.717995894,-12.5933426693791
196152.397142044,-1.37023305892828,-1.02810772616396,1443577.63387727,0,0,196152.076289243,-14.4701151777269
196151.755437492,-1.44258363481691,-1.0293591493057,1463347.85352107,0,0,196151.434586791,-14.88597119465
196151.113737139,-1.51701349079016,-1.03096304926181,1483117.94351447,0,0,196150.792888537,-13.7617236699839
196150.472040985,-1.58582210914008,-1.03294051975352,1502887.90386586,0,0,196150.151194482,-11.1846171967727
196149.830349029,-1.64174519512395,-1.03529150016569,1522657.73461383,0,0,196149.509504625,-7.40432028106852
196149.188661271,-1.67876679652929,-1.03799173016226,1542427.43582375,0,0,196148.867818967,-2.8054767680942
196148.546977712,-1.69279418036976,-1.04099114447725,1562197.00758133,0,0,196148.226137507,2.13443205184944
196147.905298351,-1.68212202011051,-1.04421498398068,1581966.44998399,0,0,196147.584460245,6.89254477591703
196147.263623189,-1.64765929623093,-1.04756774944326,1601735.76313075,0,0,196146.942787182,10.9501561002332
196146.621952225,-1.59290851572976,-1.05093943919163,1621504.94711175,0,0,196146.301118317,13.844831710378
196145.980285459,-1.52368435717787,-1.05421284606361,1641274.00199831,0,0,196145.659453651,15.2219391311689
196145.338622892,-1.44757466152203,-1.05727052843045,1661042.92783476,0,0,196145.017793182,14.8797676209711
196144.696964522,-1.37317582341717,-1.06000058147286,1680811.7246328,0,0,196144.376136912,12.7989915941441
196144.055310351,-1.30918086544645,-1.06230148152046,1700580.39236927,0,0,196143.73448484,9.15017293729079
196143.413660378,-1.26343000076,-1.06408717460637,1720348.9309877,0,0,196143.092836966,4.27611379315067
