Freq,GD,IL/Gain,Phase,PDL,PMD,Freq,CD
196199.252917539,-22.192059029992,-0.362461184414771,0,0,0,196198.931911433,10.3539690663524
196198.610906378,-22.1402891846603,-0.362331755027503,193.753498453922,0,0,196198.289902373,13.230828546574
196197.968899418,-22.0741350419274,-0.362229140786793,387.505966739661,0,0,196197.647897514,16.3850662643711
196197.32689666,-21.9922097106056,-0.362174448932219,581.257465687494,0,0,196197.005896857,19.8042250066806
196196.684898103,-21.8931885855721,-0.362191637235117,775.008061595319,0,0,196196.363900401,23.4611767237595
196196.042903748,-21.7758827019534,-0.362307302514701,968.757825829312,0,0,196195.721908146,27.336170896325
196195.400913595,-21.6392018474717,-0.362552277292053,1162.50683435106,0,0,196195.079920093,31.4333727684016
196194.758927642,-21.4820349836297,-0.362966028679399,1356.25516756026,0,0,196194.437936242,35.7862024409997
196194.116945891,-21.3031039714247,-0.363604612838774,1550.00291067364,0,0,196193.795956592,40.4528929637081
196193.474968342,-21.1008395066062,-0.364552446336035,1743.75015464908,0,0,196193.153981143,45.5022378901958
196192.832994994,-20.8733283171552,-0.365937000795842,1937.49699746639,0,0,196192.512009895,50.9951468841791
196192.191025847,-20.6183525827343,-0.367944741239697,2131.24354543505,0,0,196191.870042849,56.9686509127791
196191.549060901,-20.3335093281704,-0.370836809514095,2324.98991418167,0,0,196191.228080003,63.4227119053776
196190.907100156,-20.0163957686435,-0.374962832532558,2518.73622902274,0,0,196190.586121359,70.3150566100419
196190.265143613,-19.6648204855933,-0.38077339544459,2712.48262453771,0,0,196189.944166916,77.5642701774757
196189.62319127,-19.2769991347059,-0.388834311379982,2906.22924332152,0,0,196189.302216674,85.0589331664594
196188.981243129,-18.8517044688736,-0.399845743168658,3099.97623403994,0,0,196188.660270633,92.6698328992245
196188.339299188,-18.3883553043775,-0.414666965668602,3293.72374900289,0,0,196188.018328793,100.262585911423
196187.697359449,-17.8870423748204,-0.434345697914274,3487.47194150641,0,0,196187.376391154,107.706169176532
196187.05542391,-17.3485115289377,-0.460149627590759,3681.22096315642,0,0,196186.734457716,114.874554459021
