CCF,ITU Shift,MAX IL,MIN IL,PDL,Ripple,Adj Iso,Adj Iso,Adj Iso,GD Ripple,GD Ripple,GD Ripple,GD Slope,Worst CD,Worst CD,Worst CD,Worst CD,Passband,Passband,Stopband,PMD,
GHz,GHz,dB,dB,dB,dB,8,10,32,6,8,32,32,13,22,32,32,6,8,8,32,
MAX-Value,-2654.71346375,32.999226730644,0.762469938674386,0,31.7877549631022,0,0,0,12.6964453374077,20.2233143871735,29.172265697263,37.6050561278417,626.001665596755,626.001665596755,626.001665596755,626.001665596755,5309.4269275,5309.4269275,123.418342125253,0,

187370.28653625,-2654.71346375,0.890739518716147,0.890739518716147,0,0,0,0,0,0,0,0,NaN,44.2574559184095,44.2574559184095,44.2574559184095,44.2574559184095,5309.4269275,5309.4269275,0,0,
187370.28653625,-2504.71346375,0.890739518716147,0.890739518716147,0,0,0,0,0,0,0,0,NaN,44.2574559184095,44.2574559184095,44.2574559184095,44.2574559184095,5009.4269275,5009.4269275,0,0,
187370.28653625,-2354.71346375,0.890739518716147,0.890739518716147,0,0,0,0,0,0,0,0,NaN,44.2574559184095,44.2574559184095,44.2574559184095,44.2574559184095,4709.4269275,4709.4269275,0,0,
187370.28653625,-2204.71346375,0.890739518716147,0.890739518716147,0,0,0,0,0,0,0,0,NaN,44.2574559184095,44.2574559184095,44.2574559184095,44.2574559184095,4409.4269275,4409.4269275,0,0,
187370.28653625,-2054.71346375,0.890739518716147,0.890739518716147,0,0,0,0,0,0,0,0,NaN,44.2574559184095,44.2574559184095,44.2574559184095,44.2574559184095,4109.4269275,4109.4269275,0,0,
187370.28653625,-1904.71346375,0.890739518716147,0.890739518716147,0,0,0,0,0,0,0,0,NaN,44.2574559184095,44.2574559184095,44.2574559184095,44.2574559184095,3809.4269275,3809.4269275,0,0,
187370.28653625,-1754.71346375,0.890739518716147,0.890739518716147,0,0,0,0,0,0,0,0,NaN,44.2574559184095,44.2574559184095,44.2574559184095,44.2574559184095,3509.4269275,3509.4269275,0,0,
187370.28653625,-1604.71346375,0.890739518716147,0.890739518716147,0,0,0,0,0,0,0,0,NaN,44.2574559184095,44.2574559184095,44.2574559184095,44.2574559184095,3209.4269275,3209.4269275,0,0,
187370.28653625,-1454.71346375,0.890739518716147,0.890739518716147,0,0,0,0,0,0,0,0,NaN,44.2574559184095,44.2574559184095,44.2574559184095,44.2574559184095,2909.4269275,2909.4269275,0,0,
187370.28653625,-1304.71346375,0.890739518716147,0.890739518716147,0,0,0,0,0,0,0,0,NaN,44.2574559184095,44.2574559184095,44.2574559184095,44.2574559184095,2609.4269275,2609.4269275,0,0,
187370.28653625,-1154.71346375,0.890739518716147,0.890739518716147,0,0,0,0,0,0,0,0,NaN,44.2574559184095,44.2574559184095,44.2574559184095,44.2574559184095,2309.4269275,2309.4269275,0,0,
187370.28653625,-1004.71346375,0.890739518716147,0.890739518716147,0,0,0,0,0,0,0,0,NaN,44.2574559184095,44.2574559184095,44.2574559184095,44.2574559184095,2009.4269275,2009.4269275,0,0,
187370.28653625,-854.713463749998,0.890739518716147,0.890739518716147,0,0,0,0,0,0,0,0,NaN,44.2574559184095,44.2574559184095,44.2574559184095,44.2574559184095,1709.4269275,1709.4269275,0,0,
